Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
33298s,0.65228,0.64557,0.632,0.65376,0.6563,0.63986,0.69056,0.60234,0.65878,0.68036,0.66087,0.64491
33598s,0.66043,0.65753,0.64166,0.66513,0.67098,0.65227,0.70231,0.61312,0.66943,0.68728,0.66824,0.64664
33897s,0.67498,0.67031,0.65681,0.68037,0.68306,0.66601,0.71347,0.62391,0.68118,0.70333,0.68677,0.66819
34197s,0.68489,0.67941,0.6656,0.68841,0.69521,0.67311,0.72252,0.63515,0.69059,0.71085,0.69733,0.67725
34497s,0.69478,0.69083,0.67812,0.70161,0.70547,0.6922,0.73217,0.64342,0.70301,0.72471,0.7043,0.68697
34797s,0.70587,0.70022,0.68644,0.70945,0.71658,0.69695,0.74258,0.65726,0.7119,0.7326,0.70993,0.69004
35097s,0.71841,0.71051,0.69414,0.71928,0.72242,0.70444,0.75394,0.663,0.72151,0.73806,0.71778,0.70186
35397s,0.73001,0.72237,0.70915,0.73257,0.7381,0.7193,0.76557,0.67198,0.73012,0.75639,0.73349,0.71167
35697s,0.73664,0.72939,0.71786,0.74129,0.74651,0.73123,0.77822,0.6877,0.7464,0.76976,0.74989,0.732
35997s,0.74635,0.74227,0.72608,0.75397,0.75914,0.73973,0.78702,0.69441,0.75582,0.77855,0.76041,0.7403
36297s,0.76079,0.75452,0.73722,0.76498,0.76879,0.75108,0.79733,0.70393,0.76868,0.79102,0.76744,0.75385
36597s,0.76989,0.76376,0.75044,0.77707,0.77897,0.76015,0.81098,0.71424,0.77657,0.79634,0.78303,0.76066
36897s,0.77641,0.77214,0.75697,0.78497,0.79269,0.77164,0.81802,0.72143,0.7836,0.80243,0.7826,0.76375
37197s,0.78872,0.78316,0.77032,0.79575,0.80233,0.78083,0.83116,0.73411,0.79762,0.81904,0.8034,0.78212
37497s,0.79899,0.79309,0.77743,0.80441,0.81482,0.7952,0.84128,0.74739,0.8046,0.82603,0.80553,0.78792
37797s,0.81089,0.80615,0.78848,0.81329,0.82097,0.8011,0.84943,0.75159,0.81659,0.84015,0.81741,0.79765
38097s,0.81861,0.81308,0.79723,0.8238,0.83445,0.8116,0.85928,0.76617,0.82835,0.85241,0.83364,0.81273
38397s,0.82775,0.8229,0.80739,0.83491,0.84439,0.82495,0.87033,0.77055,0.83956,0.85878,0.84532,0.8229
38697s,0.83919,0.83146,0.81385,0.84894,0.85461,0.83258,0.88093,0.77914,0.84394,0.86429,0.84365,0.82349
38997s,0.84907,0.84218,0.82325,0.85713,0.86319,0.8445,0.89054,0.79574,0.85455,0.87451,0.85516,0.83722
39297s,0.85717,0.84796,0.83468,0.86412,0.87417,0.85199,0.89819,0.79874,0.85763,0.88402,0.85993,0.84535
39597s,0.87186,0.86074,0.84477,0.87523,0.8844,0.86277,0.90719,0.81055,0.86783,0.89352,0.87514,0.85726
39897s,0.87955,0.87055,0.85723,0.88388,0.89267,0.8698,0.92053,0.82194,0.88496,0.90674,0.88688,0.86702
40197s,0.88616,0.876,0.86072,0.89199,0.90309,0.87561,0.92728,0.83174,0.89729,0.91425,0.89524,0.87714
